ID,Date,Element,Data_Value
NLE00113670,16/03/2009,TMAX,89
NLE00113670,16/03/2009,TMIN,65
NLE00113670,17/03/2009,TMAX,80
NLE00113670,17/03/2009,TMIN,55
NLE00113670,18/03/2009,TMIN,53
NLE00113670,18/03/2009,TMAX,67
NLE00113670,19/03/2009,TMAX,69
NLE00113670,19/03/2009,TMIN,24
NLE00113676,12/09/2008,TMIN,150
NLE00113676,12/09/2008,TMAX,180
NLE00113676,13/09/2008,TMIN,140
NLE00113676,13/09/2008,TMAX,171
NLE00113676,14/09/2008,TMAX,161
NLE00113676,14/09/2008,TMIN,145
NLE00113676,15/09/2008,TMAX,163
NLE00113676,15/09/2008,TMIN,148
NLE00113676,16/09/2008,TMAX,173
NLE00113676,16/09/2008,TMIN,151
NLE00113676,17/09/2008,TMAX,156
NLE00113676,17/09/2008,TMIN,146
NLE00113706,16/03/2009,TMAX,88
NLE00113706,16/03/2009,TMIN,62
NLE00113706,17/03/2009,TMAX,86
NLE00113706,17/03/2009,TMIN,54
NLE00113706,18/03/2009,TMIN,49
NLE00113706,18/03/2009,TMAX,61
NLE00113706,19/03/2009,TMAX,62
NLE00113706,19/03/2009,TMIN,39
NLE00113724,01/01/2005,TMIN,60
NLE00113724,01/01/2005,TMAX,101
NLE00113724,02/01/2005,TMAX,76
NLE00113724,02/01/2005,TMIN,60
NLE00113724,03/01/2005,TMAX,88
NLE00113724,03/01/2005,TMIN,70
NLE00113724,04/01/2005,TMAX,95
NLE00113724,04/01/2005,TMIN,74
NLE00113724,05/01/2005,TMAX,85
NLE00113724,05/01/2005,TMIN,65
NLE00113724,06/01/2005,TMAX,93
NLE00113724,06/01/2005,TMIN,69
NLE00113724,16/03/2009,TMIN,60
NLE00113724,16/03/2009,TMAX,76
NLE00113724,17/03/2009,TMIN,50
NLE00113724,17/03/2009,TMAX,76
NLE00113724,18/03/2009,TMAX,65
NLE00113724,18/03/2009,TMIN,49
NLE00113724,19/03/2009,TMIN,49
NLE00113724,19/03/2009,TMAX,62
NLE00113736,01/01/2005,TMIN,83
NLE00113736,01/01/2005,TMAX,113
NLE00113736,02/01/2005,TMIN,65
NLE00113736,02/01/2005,TMAX,89
NLE00113736,03/01/2005,TMAX,96
NLE00113736,03/01/2005,TMIN,71
NLE00113736,04/01/2005,TMAX,98
NLE00113736,04/01/2005,TMIN,76
NLE00113736,05/01/2005,TMAX,96
NLE00113736,05/01/2005,TMIN,75
